suite,benchmark,horizon_group,model_id,derived_macro_effect_nrmse,stratified_task_bootstrap_95_ci_lower,stratified_task_bootstrap_95_ci_upper,mean_rank_across_40_capability_level_cells,cell_win_count_out_of_40,uncorrected_significant_cell_pairwise_wins,uncorrected_significant_cell_pairwise_losses,cell_pairwise_comparison_count,capability_count,level_count_per_capability,bootstrap_repetitions,derived_display_metric,macro_definition,bootstrap_definition,derived_macro_rank
FEV-Mini20,FEV-Bench,native,toto2.0,0.519343402,0.4552806082,0.5889715505,2,19,91,5,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",1
FEV-Mini20,FEV-Bench,native,timesfm2.5,0.5671737159,0.4993112032,0.640235628,2.7,2,39,20,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",2
FEV-Mini20,FEV-Bench,native,tirex2,0.5819525612,0.509475161,0.6617414316,3.25,5,24,15,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",3
FEV-Mini20,FEV-Bench,native,Timer-3.5,0.6235238135,0.5529746773,0.7002516628,4.425,0,7,71,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",4
FEV-Mini20,FEV-Bench,native,Chronos-2,0.6396533393,0.5529303245,0.7335418254,4.35,5,18,34,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",5
FEV-Mini20,FEV-Bench,native,moirai2,0.6439230115,0.5597240334,0.7380021496,4.275,9,23,57,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",6
GIFT-Long,GIFT-Eval,long,Chronos-2,0.5784363042,0.5134288838,0.6418480866,1.15,34,110,1,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",1
GIFT-Long,GIFT-Eval,long,timesfm2.5,0.6738117791,0.591201633,0.758246727,2.275,6,48,23,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",2
GIFT-Long,GIFT-Eval,long,Timer-3.5,0.7751514368,0.691608949,0.8581994066,3.5,0,14,61,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",3
GIFT-Long,GIFT-Eval,long,toto2.0,0.8336085494,0.6952306183,0.9892602797,3.775,0,13,35,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",4
GIFT-Long,GIFT-Eval,long,moirai2,0.9554177392,0.805101593,1.137560185,4.3,0,6,71,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",5
GIFT-Medium,GIFT-Eval,medium,Chronos-2,0.6471411338,0.5342983822,0.7798994508,1.925,25,81,1,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",1
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,0.7002753986,0.591095678,0.8190496644,2.3,9,25,24,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",2
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,0.8212944367,0.6785042115,1.003375456,3.4,0,3,42,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",3
GIFT-Medium,GIFT-Eval,medium,toto2.0,0.858162133,0.6605165487,1.096511686,3.675,2,21,17,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",4
GIFT-Medium,GIFT-Eval,medium,moirai2,0.8821604501,0.7658491523,1.006703129,3.7,4,7,53,160,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",5
GIFT-Short,GIFT-Eval,short,Chronos-2,0.533096788,0.4631525422,0.6083803981,2.275,13,65,7,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",1
GIFT-Short,GIFT-Eval,short,timesfm2.5,0.5799871313,0.5114351555,0.6497118012,3.025,10,37,33,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",2
GIFT-Short,GIFT-Eval,short,Timer-3.5,0.6010097051,0.538833868,0.6681694967,3.975,0,3,52,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",3
GIFT-Short,GIFT-Eval,short,tirex2,0.6046927472,0.484614156,0.7555886221,3.275,7,34,7,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",4
GIFT-Short,GIFT-Eval,short,toto2.0,0.6166760812,0.4993962749,0.754729885,3.7,9,34,21,200,8,5,20000,True,equal mean of 8 capability means; each capability is the equal mean of 5 level-specific task-equal NRMSEs,"capability-stratified paired resampling of eligible tasks, followed by equal capability mean",5
